,CLIENT NAME,CLIENT_LOCATION,REVIEW_TITLE,REVIEW_PARAGRAPH,REVIEW_SCORE,CLIENT_REVIEW_COUNT
291,Sarah LEBALLEUR,FR,Absolument P.A.R.F.A.I.T,"Une personne très gentille et de confiance à l'accueil téléphonique. Ma PS4 a été envoyée puis réparée et récupérée en un peu plus d'une semaine ! J'avais très peur de ne pas pouvoir la récupérer parce qu'elle ne voulait plus s'allumer, mais finalement tout est parfait ! Je suis très contente ! Je recommande vivement ! Je retournerai dans leur magasin sans l'once d'un doute !",Rated 5 out of 5 stars,1 review
292,romario mendes,FR,Parfait,Très rapide Service de qualité Et très aimable et accueillent,Rated 5 out of 5 stars,1 review
293,Guillaume,FR,Excellente prestation,"Rapide, efficace et très professionnel. Un service de qualité en qui on peut avoir confiance.",Rated 5 out of 5 stars,1 review
294,Tibo,FR,Excellent! Service,"Excellent! Envoie, réparation et Reçu en 1 Semaine. Devi et diagnostic rapide.",Rated 5 out of 5 stars,1 review
295,Henri Ohayon,FR,"SUPER,TRES TRES PRO.TOP.",None,Rated 5 out of 5 stars,1 review
296,José BERNARDINI,FR,Découvert par internet,"Découvert par internet, un devis compétitif une réparation rapide et conforme.Gamefix : compétence et  honnêteté",Rated 5 out of 5 stars,2 reviews
297,dominique HAMON,NL,Sérieux,"Sérieux, rapide, compétent et souriant !!!!",Rated 5 out of 5 stars,2 reviews
298,franchini,FR,Encore une très bonne intervention sur…,"Encore une très bonne intervention sur une Switch, vous êtes très professionnel , rapide et efficace . Merci c'est un site à recommander.",Rated 5 out of 5 stars,2 reviews
299,NOEL GODET,FR,Multiple panne sur ma ps4 Pro,"Multiple panne sur ma ps4 Pro, console envoyé le mardi, réceptionner le jeudi par Gamefix et réparé le vendredi, j'ai récupéré celle ci le lundi, tester et plus aucun problème, pour un prix imbattable.La réparation est garantie, et je ne manquerai pas de vous tenir au courant en cas de soucis, mais pour le moment, je recommande.",Rated 5 out of 5 stars,3 reviews
300,Seyivè ,FR,Pédagogue et disponible !,None,Rated 5 out of 5 stars,1 review
301,Kevin ,FR,Très agréable et efficace j'ai récupéré…,Très agréable et efficace j'ai récupéré ma console quelques jour après nickel.,Rated 5 out of 5 stars,1 review
302,Marvin Encelade,FR,Je vous recommande pour tout…,"Je vous recommande pour tout réparations de console en 3 jours j'avais déjà ma console chez moi en bonne santé service Propre,rapide, efficace 👍🏾💯",Rated 5 out of 5 stars,1 review
303,Carol Mérel,FR,Très bon service,Très bon service. Rapide et efficace.,Rated 4 out of 5 stars,1 review
304,Paris ,FR,Au top rapide,"Au top rapide, Quand vous avez un pb sur Tous le console vous pouvez faire confiance a l'équipe de Gamefix",Rated 5 out of 5 stars,1 review
305,Sam,FR,Service au top du top,"Service au top du top, très professionnel, rapide (3 jours), je recommande Game2Game à tous ceux qui ont un problème avec leur console. Ce sont des très bons docteurs 😁",Rated 5 out of 5 stars,1 review
306,Paul,FR,Très satisfait de la qualité des…,Très satisfait de la qualité des réparations et de la rapidité ! Je recommande,Rated 5 out of 5 stars,1 review
307,Maxime Ehanno,FR,Bon service rapide et efficace,"Bon service rapide et efficace, réparation de console au top et accueil agréable.",Rated 5 out of 5 stars,1 review
308,J,FR,Super rapide,"Super rapide, j'ai envoyé m'a ps5 pour un HDMI HS, la réparation chez Sony était presque 100€ plus chère avec de moin bon délai et la suppression de tous mes données. Vous pouvez leur faire confiance au top 👍",Rated 5 out of 5 stars,1 review
309,Bruno Wils,FR,Très satisfait,"Premier essai, et donc, comme tout premier essai, grande prudence. Et là, Ô merveille, tout s'est parfaitement bien passé, de A à Z. Une vraie relation client, un réel suivi. J'ai reçu ma box, pas de mauvaise surprise. J'ai essayé et tout fonctionne bien. Une grande enseigne m'avait fait un devis de près de 300 euros pour la réparation et là, avec Gamefix, 85 euros. Je recommande Gamefix. Très satisfait.",Rated 5 out of 5 stars,2 reviews
310,Aurélia Granzotto,FR,ma console fonction normalement,"reparation rapide, et ma console marche comme avant je recommande",Rated 5 out of 5 stars,4 reviews
311,Monsieur DE BAERDEMAEKER,FR,contente de l'accueil téléphonique pour…,contente de l'accueil téléphonique pour explique de la panne et contente de la reparation du matériel merci a toute l'équipe,Rated 5 out of 5 stars,2 reviews
312,Patrick de Araujo,FR,Nickel,"Simple, explication efficace, rapidité. Prix a peu prêt correct. Je recommande",Rated 5 out of 5 stars,1 review
313,Jean-francois Hallaire,FR,Bon service et rapide.,Bon service et rapide.Je recommande.,Rated 5 out of 5 stars,2 reviews
314,Karim Abdul Amir,FR,Merci gamefix.,None,Rated 5 out of 5 stars,2 reviews
315,YoYo Majestic,FR,Ma fille est extrêmement ravie que la…,"Ma fille est extrêmement ravie que la console remarche à nouveau.Très professionnelle, la réparation est très rapide, le suivi est parfait. Bref au top !Un papa heureux !",Rated 5 out of 5 stars,1 review
316,Emilie Brossard,FR,Au top!,"Ma fille est ravie d'avoir récupéré sa console!Suivi très sérieux, délai de réparation et d'envoi très convenable! Je recommande!",Rated 5 out of 5 stars,3 reviews
317,Ingrid Agneray,FR,Excellent,"Excellent, service rapide et professionnel. Ma fille est très heureuse de pouvoir à nouveau jouer avec .encore merci",Rated 5 out of 5 stars,6 reviews
318,Lorry,FR,"Excellent,service rapide",None,Rated 5 out of 5 stars,1 review
319,Massha ,FR,Satisfaite,"Je suis très satisfaite de la réparation et de la prise en charge. Réparation rapide rien à dire. Cependant, j’ai récupéré ma PlayStation avec un choc, non présent lors de mon envoi, mon emballage était fiable avec papier bulle étc. Un choc lors de la réparation ? 🤷🏼‍♀️",Rated 4 out of 5 stars,3 reviews
320,Joffrey Santin,FR,Tip top rien à redire fluide rapide…,Tip top rien à redire fluide rapide bravo gamefix,Rated 5 out of 5 stars,1 review
321,Mme BINDIKOU Myrella,FR,Je recommande,"Problème de switch qui ne chargeait plus, il a été règle en 48h ! Service au top",Rated 5 out of 5 stars,3 reviews
322,Marine Lbds,FR,Super équipe,"Super équipe qui renseigne très bien. Travaille compétant, l'équipe fait au mieux poiur satisfaire le client au maximum.Merci pour ma Xbox one",Rated 5 out of 5 stars,1 review
323,Kan CISSE,FR,Excellent boulot,"Excellent boulot. Quel accueil, sincèrement je suis content d'être passé par là. A très vite pour la seconde console ;)",Rated 5 out of 5 stars,2 reviews
324,Sofiane Belkhir,FR,C’était superbe,"C’était superbe, rapide et efficace Merci",Rated 5 out of 5 stars,1 review
325,Mathias Lancemot,FR,Juste parfait.,"Juste parfait.De l'émission de l'étiquette pour envoi de la Switch, jusqu'à la réception de la console réparée une dizaine de jours plus tard, rien à redire. Le service est  parfait et terriblement efficace ! Je ne connaissais pas et me suis laissé convaincre par les avis laissés sur trustpilot, amplement mérités. 👍",Rated 5 out of 5 stars,2 reviews
326,M.M,FR,Vous pouvez y aller les yeux fermés !,"Je n'ai pas pour habitude d’écrire un pavé ou juste de donner mon avis sur un endroit mais là c’est la moindre des choses...Depuis plusieurs mois j’avais un soucis avec mon joycon de switch. Avant de partir en vacances je me suis dit que j’allais le réparer. J’ai donc cherché une boutique pas loin de chez moi pour le faire réparer. J’ai trouvé GameFix, et ai décidé de m’y déplacer car bien trop réticente à l’idée d’envoyer mon joycon à une boutique que je ne connaissais pas...J’ai tout d’abord appelé la boutique et ai eu un diagnostic au tel. On me dit que je peux venir faire un échange avec un autre en très bon état à la boutique pour 25€. Je trouvais que c’était juste super et vraiment pas cher quand l’on voit le prix d’un neuf...Je m’y déplace. Vendeur super sympa il se met à tester mon joycon devant moi et m’explique qu’il n’est pas nécessaire de le remplacer mais qu’il pourrait nettoyer le joystick et retirer la poussière. Après l’avoir fait, il me dit que mon joystick devrait fonctionner « un simple nettoyage peut suffire parfois ». Et il me dit que je n’ai rien à régler et qu’il m’a rendu service, vraiment trop gentil...Le surlendemain je m’aperçois que le joycon rebug, le nettoyage n’avait pas suffit :( donc j’y retourne. Et là cette fois ci je suis prise en charge par le gérant il le retest et me l’échange par un joycon en TBE. Spoiler alert : il est marche très bien !!M’étant souvenue que la boutique avait la possibilité de retirer l’oxydation de certains appareils, je me dis que je n’avais rien à perdre à amener mon appareil photo polaraïd qui avait un soucis d’oxydation et qui pourtant quasi neuf ne fonctionnait plus. Le gérant me propose de s’en occuper. Je reviens de vacances. Je retrouve mon appareil avec les connectiques nettoyées et reserrées ! Il est comme neuf ! Et le plus beau dans tout ça c’est que je n’ai rien payé ! Merci à vous !!En résumé : une équipe gentille et passionnée. Elle sait de quoi elle parle et connaît ses produits. S’ils peuvent aider ils le font avec plaisir et j’adore cette mentalité ! J’ai recommandé cette boutique à tous mes amis gamer proches. Ils sont à l’écoute et prennent le temps d’expliquer la faille et ce qu’ils vont faire à l’appareil pour rassurer le client. Et le plus incroyable, c’est leur honnêteté. Comme d’autres boutiques ils auraient pu me proposer un échange et du coup me le facturer direct, alors que non ils m’ont simplement rendu service... Je suis contente de savoir que l’honnêteté existe encore.... Merci ! 🥰🥰",Rated 5 out of 5 stars,1 review
327,Nicolas,FR,Réparation port USB,"Merci Gamefix. Réparation très rapide. Là où de nombreux réparateurs proposaient le remplacement de la carte-mère complète, Gamefix a pu seulement remplacer le port USB dégradé.  Pas de perte de données et prix moins élevé.  Je recommande ce site fortement.",Rated 5 out of 5 stars,2 reviews
328,Kevin,GB,"Super accueil, service exemplaire","Super accueil, service exemplaire.Diagnostic rapide avant envoi au centre bon dès le début, super communication tout au long du processusSeul micro-détail: j'aurais aimé être prévenu la semaine de fermeture du magasin (mais c'était celle du 15 aout, plutôt normal!)",Rated 5 out of 5 stars,5 reviews
329,Brigitte,FR,Super expérience !,"Super expérience : très bon accueil au magasin, la personne a bien pris le temps de regarder la panne de ma console, qui était complexe. Devis immédiat et réparation dans la semaine en plein mois d'août ! je recommande sans hésitation. Merci à toute l'équipe",Rated 5 out of 5 stars,2 reviews
330,Leclercq ,FR,Je recommande gamefix envoyer ma Xbox …,Je recommande gamefix envoyer ma Xbox  one x  un devis a était effectuer    circuit HDMI  qui était défectueux  gamefix m'a refait la console je suis très satisfait je recommande a toute les personnes qui doive réparée  leur console merci gamefix,Rated 5 out of 5 stars,1 review
331,Adel Barka,FR,Une bonne équipe,"Une bonne équipe, accueillante  à l'écoute des clients, une équipe de professionnelle sympathique.  diagnostique et réparation rapide avec toute transparence.",Rated 5 out of 5 stars,1 review
332,Hassadi,FR,J'ai envoyé ps4 pro car je n'arrive pas…,J'ai envoyé ps4 pro car je n'arrive pas à faire la mise à jour 8.52 j'ai reçu m'as ps4 pro repair je suis très satisfait je recommande gamefix,Rated 5 out of 5 stars,1 review
333,Abdel Saadna,FR,Site à fuir absolument.!!!,"Site à fuir absolument.!!!Envoyé ma PS 4 slim le 20 juillet 2021 , qui s' allumée , récupéré le 10 août 2021 , soit disant irréparable , alors  qu'au téléphone , ce n' était pas le même discours , de plus ma PS 4 ne s' allume plus du tout , et en plus ils me propose 30 euros pour la reprise !!! Je vous déconseille vivement  ce site.",Rated 1 out of 5 stars,1 review
334,angeline,FR,tres bien  travail excellent retour…,tres bien  travail excellent retour rapide je recommande vivement,Rated 5 out of 5 stars,2 reviews
335,Consumer,FR,Super expérience,"Super expérience, Xbox one x avec lecteur défectueux, enfin, plus précisément carte mère du lecteur ainsi que surchauffe de la console. Ils ont su diagnostiquer et réparer la console rapidement avec en plus une très bonne communication et un prix très mesuré !! Je recommande a 100% . Merci.",Rated 5 out of 5 stars,1 review
336,Claire ,FR,Service de qualité,"Service de qualité , rapide , Efficace . Vous pouvez faire confiance ! Switch (problème de port) envoyée le lundi récupérée au pont relais le mercredi de la semaine suivante .Très bon suivi, étape par étape Je recommande !",Rated 5 out of 5 stars,1 review
337,beguery quentin,FR,Une super équipe de professionnels,Une super équipe de professionnels! Délais très rapide 24h pour le devis et le remplacement du disque dur de la Ps4 avec des conseils .Prix abordable.,Rated 5 out of 5 stars,3 reviews
338,gilles,FR,a recommandé,"tres bon service ,tout est parfaitement organisé, sans surprise.A recommande",Rated 5 out of 5 stars,2 reviews
339,Roudeau,FR,Service de grande qualité du début à la…,Service de grande qualité du début à la fin de la prise en charge de la réparation. Je recommande à 100%,Rated 5 out of 5 stars,1 review
340,Vivi Hugo,FR,Très contente je recommande réparation…,Très contente je recommande réparation switch réponds à toute les questions rapide reçu aujourd’hui réparer je recommande,Rated 5 out of 5 stars,1 review
341,florence,FR,Parfait je recommande mon fils est aux…,Parfait je recommande mon fils est aux anges rapides et efficace mille mercis à toute votre équipe vous pouvez leur faire confiance,Rated 5 out of 5 stars,4 reviews
342,Wilfrid tremblay,FR,Équipe jeune et sympathique,"Équipe jeune et sympathique. Dommage toutefois que leur TPE ne fonctionnait pas, cela m'a obligé a faire un retrait dans une banque dans la rue...",Rated 4 out of 5 stars,1 review
343,J.Royer,FR,Problème de colis résolu,"Problème résolu. Gamefix a bien enquêté auprès de la poste. La perte du colis était bien une erreur de la poste.  Nous serons dédommagé à la hauteur de ce qui est prévu par l'assurance souscrite lors de l'envoi du colis. Le 3 juin 2021, un email de Gamefix nous confirme qu'ils on bien reçu la switch de mon fils. Puis plus rien. Mon premier avis a été immédiatement suivi d'un échange téléphonique me promettant d'engager une action à l'encontre de la poste, puisque Gamefix me dit qu'il s'agit d'un problème avec la Poste. Ils me demandent de retirer mon avis, je propose de le faire lorsque une action aura été engagée. A nouveau silence radio, malgré deux emails de ma part. J'en conclus qu'il faut que je passe à la vitesse supérieure auprès des associations de consommateurs puis au dépôt de plainte?Réponse à votre retour du 28 juillet: ça n'est malheureusement que via trust-pilot que j'obtiens des réponses. C'est fort dommage j'en conviens. Par ailleurs je me suis renseigné auprès de la Poste et le mail accusant réception de la Switch que nous avons reçu ne vient pas d'eux mais de vous... ? je vous ai envoyé une copie écran par mail mais sans réponse de votre part...",Rated 4 out of 5 stars,2 reviews
344,franck bade,FR,Panne d'affichage HD et 4K,"Retissant d'envoyer ma console sur Paris, habitant dans le Finistère, je suis très satisfait de ma décision. En effet,  du départ au retour,  service très "" carré "" ,réparation faite en 3 semaines. Seul bémol, manque de détails sur le devis répartition .Encore merci et bravo à toute l'équipe.",Rated 5 out of 5 stars,1 review
345,JIRCY,FR,Merci beaucoup meme sur warzon Plus…,Merci beaucoup meme sur warzon Plus aucun bruit !!.Problème d’alimentation réparer merci beaucoup !.,Rated 5 out of 5 stars,2 reviews
346,Jerome Briot,FR,Réparations PS4,"Franchement, réparations sérieuses, efficaces et surtout rapide... Je trouve le coût des réparations correctes....",Rated 5 out of 5 stars,1 review
347,GERARD BIJAOUI,FR,expérience géniale pour découvrir et…,expérience géniale pour découvrir et jouer,Rated 5 out of 5 stars,1 review
348,Seb Germes,FR,problèmes de surchauffe sur…,"Suite à des problèmes de surchauffe sur ma ps4, celui ne tenait pas plus de 5 min sans s'arrêter. Après avoir chercher un réparateur près de chez moi sans succès, je suis tombé par hasard sur le site de gamefix. Elle avait un problème de ventilateur et un rebillage à faire. J'ai retrouvé ma console hier. Je n'entends presque plus le ventilateur et elle ne s'éteint plus. Trop content du travail qui a été fait. Merci encore !",Rated 5 out of 5 stars,1 review
349,serge,FR,Service rapide et efficace.,Service rapide et efficace.Je recomande vivement.,Rated 5 out of 5 stars,1 review
350,Bruno BIBOU,FR,Xbox repartie en réparation,"Xbox partie en réparation, retour avec un souci. Gamefix m'a proposé un renvoi sous garantie, donc aucune charge pour moi. Appel de Gamefix pour me dire que la console a été abimée dans le transport. Changement de coque et réparation. La console est revenue aujourd'hui. Parfaitement emballée, elle marche nickel. Bravo pour le SAV. Je recommande si vous avez un souci avec une console",Rated 5 out of 5 stars,5 reviews
351,Michel Craste,FR,Service efficace et rapide ma console…,Service efficace et rapide ma console est repartiecomme avant. Quelques conseils du réparateur pour éviter certaines pannes seraient bienvenus.,Rated 5 out of 5 stars,1 review
352,client(e),FR,PS4 Pro réparée,"PS4 Pro réparée, les seuls qui ont réussi ce qu'on les autres n'ont pas réussi !",Rated 5 out of 5 stars,2 reviews
353,versginie,FR,Service sérieux-Accueil sympa,"Service très sérieux et accueil très convivial. Réparation de la console en avril, toujours opérationnelle aujourd'hui. Je renouvelle l'opération pour une autre console aujourd'hui !",Rated 5 out of 5 stars,1 review
354,Jean Marc Delepine,FR,Super rapide,None,Rated 5 out of 5 stars,1 review
355,Mélanie Serré,FR,Très bon travail,"Très bon travail. Rapide, fait avec soin. Je recommande vivement ce site.",Rated 5 out of 5 stars,1 review
356,Bufferne Jocelyne,FR,Très bon site travail sérieux bien…,Très bon site travail sérieux bien renseigné je recommande sans hésitation 🙏,Rated 5 out of 5 stars,2 reviews
357,Laurent Tuilliere,FR,Très bon site de réparation de Nintendo…,Très bon site de réparation de Nintendo switch.Nous avons eut très rapidement le devis et elle à été réparer très rapidement aussi.Le prix est très raisonnable pour un problème de chargement de console donc parfait.,Rated 5 out of 5 stars,1 review
358, valery,FR,"Rapide et efficace, littéralement","J'ai envoyer ma switch il y a 6 jours et je l'ai reçu réparée aujourd'hui. Parfait, rapide et efficace",Rated 5 out of 5 stars,2 reviews
359,Sandra Manera,FR,Excellent,"Très bien que ca soit en prise en charge, en délais, en retour",Rated 5 out of 5 stars,1 review
360,Romain Martin,FR,Très très content de la prestation,"Très très content de la prestation. Suivi hyper sérieux et communication parfaite. Franchement, j'ai eu peur d'envoyer ma console comme ça au début, vous pouvez y aller les yeux fermés. PARFAIT.",Rated 5 out of 5 stars,2 reviews
361,jc ganne,FR,Très satisfait de la prestation au top,"Très satisfait de la prestation des équipes, accueil très sympa, à l'écoute et une analyse correcte des problèmes rencontrés sur deux PS4 !!Réparation rapide et nickel sans sur coup par rapport au 1er diagnostique !!! Je recommande vivement !!",Rated 5 out of 5 stars,1 review
362,Jessica V.,FR,Nous sommes très satisfaits de la…,"Nous sommes très satisfaits de la prestation, le retour du matériel a été rapide, tout fonctionne correctement (écran bas tactile d une 3ds xl qui était hs). Nous repasserons sans hésiter par gamefix et nous recommanderons à notre entourage.",Rated 5 out of 5 stars,1 review
363,Bruno,FR,PS4 en panne,"PS4 en panne. Diagnostic rapide et fiable: DD HS.Réparé en une semaine pour un tarif hyper compétitif.Site pour expédition clair et précis. Suivi parfait avec plein de mails d'info.Matériel pas encore rebranché car récupéré il y a une heure mais jusqu'à maintenant c'est du 50 étoiles sur 5! Bravo, continuez comme çà!",Rated 5 out of 5 stars,1 review
364,Emmanuel Mottet,FR,Sérieux et réactif,"Sérieux et réactif, PS4 réparée en moins du semaine.Je recommande sans hésiter!",Rated 5 out of 5 stars,1 review
365,Rachouuuu,FR,Très satisfaite,"Très satisfaite, un très bon suivi de l'envoi, l'analyse, la réparation et le renvoi de la console. En une semaine, la console est revenue réparée tout fonctionne, je recommande à 100% Merci Gamefix vous avez sauvé la vie de mon fils 😉",Rated 5 out of 5 stars,1 review
366,tisma,FR,Je suis aller dans ce magasin pour… réparer ma ps4,"Je suis aller dans ce magasin pour faire réparer ma ps4 car je pensais qu'elle avait un problème au disque dur. J'ai été pris en charge directement, ma console a été réparé en 30 minutes ! Je recommande a 100% !",Rated 5 out of 5 stars,1 review
367,Consumer,FR,Enfin une équipe sérieuse et rapide,None,Rated 5 out of 5 stars,1 review
368,Emmanuel,FR,au top,"Rapide, sérieux, efficace",Rated 5 out of 5 stars,2 reviews
369,Leslie ,FR,Parfait,Très bonne expérience pour la réparation de ma switch! Je recommande les yeux fermés!,Rated 5 out of 5 stars,2 reviews
370,Sasial ,FR,Magasin sérieux et très efficace.,Magasin sérieux et très efficace.Les vendeurs sont extrêmement bienveillant.,Rated 5 out of 5 stars,1 review
371,Jonathan Gnion,FR,Parfait !!,"Parfait !!! L’équipe et a l’écoute , sympa, professionnel et c’est très rapide! je recommande !!!",Rated 5 out of 5 stars,1 review
372,Sacha d’Inguimbert,FR,Super service,"Super service. J’ai reçu ma console, elle ne fait plus de bruit, c’est un régale ! Merci",Rated 5 out of 5 stars,1 review
373,laura cabarrus,FR,Super site,Super site ! Je vous le recommande vivement. En plus ils sont ultra rapides et très professionnels ! Vous pouvez envoyer vos appareils les yeux  fermés !j’ai envoyé ma play qui avait un soucis au niveau du ventilateur.,Rated 5 out of 5 stars,1 review
374,Jean-michel Jehle,FR,Merci énormément d avoir réparer ma…,Merci énormément d avoir réparer ma xbox j ai eu beaucoup de mal un trouver un réparateur et je suis tombé sur votre site et j en suis très satisfait en moins de 2 semaines (avec les envois ) elle été réparer je recommande vivement très bon boulot très sérieux et très rapide merci infiniment gamefix!!!!!!!,Rated 5 out of 5 stars,1 review
375,Nathalie Bc,FR,Très bon travail et très bon accueil,Très bon travail et très bon acceuil,Rated 5 out of 5 stars,1 review
376,Yns,FR,Très très bon travaille,None,Rated 5 out of 5 stars,1 review
377,Gilles Terrier,FR,Gamefix parfait,"Merci pour votre professionnalisme ,",Rated 5 out of 5 stars,4 reviews
378,olivier LAPEIRE,FR,Engagements tenus,"Engagements tenus, devis, délais, prix! Parfait",Rated 5 out of 5 stars,1 review
379,Rouille,FR,Prise en charge rapide et efficace,"Prise en charge rapide et efficace. PS4 réparée en 1 semaine.Devis gratuit et réparation dans les prix du marché, je recommande.",Rated 5 out of 5 stars,1 review
380,Zeljko Ilic,FR,Accueil sympathique et pro,"Accueil sympathique et pro. Réparation effectuée dans les temps et conformément à la somme annoncée. Pas de mauvaise surprise. Même si la boutique n'est pas à proximité, ça vaut le coup de faire l'effort.   Je recommande",Rated 5 out of 5 stars,1 review
381,Benoit Latrasse,FR,Réactif et professionnelle,"Réactif et professionnelle,  merci d'avoir donné un nouveaux  souffle à ma console pour un prix correcte 🤙😉",Rated 5 out of 5 stars,1 review
382,Riri42300,FR,Franchement je recommande à 1000%,Franchement je recommande à 1000% J avait des doutes à envoyer une play 4 mais sincèrement je les reçu après 1 semaine et franchement au top mon fils et raviLe ventilateur et la pâte thermique était hs tout à était réparer et nettoyer pour ma part le prix des réparations et dérisoire quand on voit le prix du neuf encore merci et super communication,Rated 5 out of 5 stars,5 reviews
383,Saadi Tal,FR,Très bonne expérience je recommande…,Très bonne expérience je recommande fortement j'ai déposé ma console et l'ai reçu en moins d'une semaine.,Rated 5 out of 5 stars,1 review
384,Frederic Bouvrande,FR,Une équipe très efficace,"Une équipe très efficace et très rapide, que ce soit de la prise de rendez-vous à la réparation et au renvoi du produit. 99% satisfait, il manque juste la précision de l'origine de la panne avec le retour de l'appareil.",Rated 5 out of 5 stars,2 reviews
385,Sébastien,FR,"Vite fait, bien fait.","Prix sans surprise, rapidité de la réparation et de l'expédition. Nickel",Rated 5 out of 5 stars,1 review
386,SAUVET FELICITY,FR,Tres professional,"Très professional, très bon service et très sympathique.",Rated 5 out of 5 stars,2 reviews
387,Bruno BILLOUD,FR,Excellent 👌réparateur a recommander…,Excellent 👌réparateur a recommander les yeux fermés !!!!!,Rated 5 out of 5 stars,1 review
388,Lamzo,FR,Excellent travail,"Excellent travail, ma PS4 très endommagée est redevenue comme neuve. J'ai beaucoup apprécié le suivi de la réparation. On peut suivre étapes par étapes du diagnostic à la récupération du produit.",Rated 5 out of 5 stars,1 review
389,Auxence REMOND,FR,1 mois d'attente sans nouvelles,"1 mois d'attente sans nouvelles, j'appelle pour savoir ou en est la réparation de ma Switch, toujours pas diagnostiquée.Je reçois un mail 2h après ""Switch irréparable"".J'appelle pour savoir pourquoi car à la base j'avais dessoudé un composant et mal ressoudé donc écran noir (chose que j'avais expliqué avant de l'envoyé).La personne me dit que vu que j'ai tenté de la réparer, ils ne touchent à rien puis me dit qu'ils ont tout fait pour la réparer sans succès. Il termine en me proposant un rachat !!! Comment ça va l'escroc ?Bref, société d'incompétents juste bon à changer des batteries ou pigeonner les gens en achetant les consoles HS, les réparer et les revendre.Concernant les avis, il vaut mieux regarder les avis négatifs qui sont vrais et non le reste qui sont faux !Pas mal le coup de ""Gamefix offre les frais retour"" car c'est le client qui les paient vu qu'on paie pour un colissimo Retour (aller/retour)...J'ai changé la pièce endommagé dès réception de ma console qui pour eux était HS (CPU mort) et magie elle refonctionne...",Rated 1 out of 5 stars,3 reviews
390,Client,FR,Génial 👍🏼 !,"Au top ! Structure sérieuse, qui a bien voulu prendre ma manette Xbox One pour un soucis récurrent avec la touche RB. Et ce, malgré les réparations des manettes de cette console ne se font plus !Merci",Rated 5 out of 5 stars,4 reviews
391,Tatiana ,FR,Service sérieux et efficace dans le…,Service sérieux et efficace dans le diagnostic. (Problème de communication entre la manette et la console ps4 pourtant j’ai tout essayé reboot etc…et c’est pas la manette qui avait un problème mais la console )Je le recommande pour tout problème concernant votre console.Rapide dans la prise en charge.Et les professionnels en boutique sont super.Rien à dire.,Rated 5 out of 5 stars,1 review
392,JEAN TREUFOUX,FR,travail bien fait et sérieux,None,Rated 5 out of 5 stars,2 reviews
393,Daniel Ferreira,FR,Console Xbox one envoyé réparation…,Console Xbox one envoyé réparation rapide et au top et le personnel au téléphone un vrai plaisir J’ai payé exactement le prix de l’estimation je recommande gamefix,Rated 5 out of 5 stars,1 review
394,Perry Agyemang,FR,Xbox one,Bonjour j’ai laissé ma Xbox one qui avait un problème de lecteur en 8 jours le souci a été réglé équipe professionnel et sérieuse merci,Rated 5 out of 5 stars,1 review
395,Sébastien Valentin,FR,Très bon contact téléphonique et devis…,Très bon contact téléphonique et devis respecter,Rated 5 out of 5 stars,1 review
396,Client,FR,Appels aux services de Gamefix pour la…,"Appels aux services de Gamefix pour la 2ème réparation,  je suis très satisfait ....très efficaces , reactifs , envois rapides , réparation rapide...Rien à dire , je recommande sans soucis",Rated 5 out of 5 stars,6 reviews
397,maxou,FR,Réparation parfaite et personne très…,Réparation parfaite et personne très sympathique,Rated 5 out of 5 stars,2 reviews
398,Jerome Pastorello,FR,Parfait.,"Rapide, efficace, précis et sympathique. Parfait donc.",Rated 5 out of 5 stars,1 review
399,Limousin ,FR,Rapide et efficace,"Rapide et efficace, je recommande.",Rated 5 out of 5 stars,4 reviews
400,Remy Dalis,FR,Service et rapidité de qualité,None,Rated 5 out of 5 stars,1 review
401,Patrice ,FR,Excellent !,Excellent !! J'ai fait réparer la Nintendo switch de ma fille et je suis ravi service rapide et sérieux je recommande...,Rated 5 out of 5 stars,1 review
402,Perrine Perrinette,FR,Parfait,Parfait. Je n'habite pas Paris et tout est mis en oeuvre pour les envois. Réparation parfaite et rapide. Prix très compétitif. Je recommande.,Rated 5 out of 5 stars,1 review
403,Coquelet ,FR,Rapide super,RapideSuper service !,Rated 5 out of 5 stars,1 review
404,Kolaflo,FR,super efficace,"super efficace, passionné, je recommande",Rated 5 out of 5 stars,1 review
405,François ,FR,Rapide,"Rapide, efficace, tarif ultra raisonnable ! En un mot : PARFAIT 👍",Rated 5 out of 5 stars,1 review
406,Lilou,FR,Très bon service,None,Rated 5 out of 5 stars,1 review
407,Willy Brulu,FR,Service très fiable et de qualité vous…,Service très fiable et de qualité vous pouvez leurs confier vos consoles en toutes quiétude. Je recommande totalement GAMEFIX,Rated 5 out of 5 stars,1 review
408,Jay,FR,Ps4 surchauffe,Elle ne fait plus aucun bruits et ne surchauffe plus. Super accueil.,Rated 5 out of 5 stars,1 review
409,Romain Jourdan,FR,Xbox one X,BonjourMon expérience service client au point autant sur le diagnostic que la panne Des bons conseil sur l'utilisation du matériel pour ma part c'étais une xbox one x 1 toLa panne détecter circuit hdmi crypté Et tout ça a un prix résonable Sa fais un peu plus d'un mois et elle marche correctement j'en suis très content merci GAMEFIXJ'avais trouver moins cher ailleurs mais les mec tu leurs dis un problème d'image il te change le port hdmi sans test sans diagnostic si sa marche pas cest ton problème des charlatants Du coût j'ai dis non 😂Faut payer pour avoir de la qualité un minimum surtout quand votre matériel coûte un peu .,Rated 5 out of 5 stars,1 review
